year,zip_code,median_income_val
2021-01-01,40203,26968
2021-01-01,40210,29733
2021-01-01,40059,161079
2021-01-01,40220,68598
2021-01-01,40047,82621
2021-01-01,40242,76534
2021-01-01,40211,29772
2021-01-01,40215,37535
2021-01-01,40205,88033
2021-01-01,40218,52395
2021-01-01,40222,73549
2021-01-01,40223,91647
2021-01-01,40067,93942
2021-01-01,40177,47670
2021-01-01,40212,31377
2021-01-01,40214,49427
2021-01-01,40299,79637
2021-01-01,40245,111250
2021-01-01,40243,79037
2021-01-01,40025,250001
2021-01-01,40109,64225
2021-01-01,40241,88147
2021-01-01,40206,62915
2021-01-01,40219,50945
2021-01-01,40258,57825
2021-01-01,40213,53224
2021-01-01,40204,56920
2021-01-01,40208,28634
2021-01-01,40216,47575
2021-01-01,40118,53779
2021-01-01,40202,20755
2021-01-01,40217,61977
2021-01-01,40207,91484
2021-01-01,40229,68309
2021-01-01,40023,129179
2021-01-01,40272,60256
2021-01-01,40209,45986
2021-01-01,40228,69944
2021-01-01,40291,75687
2022-01-01,40203,30739
2022-01-01,40210,34440
2022-01-01,40059,167193
2022-01-01,40220,72803
2022-01-01,40047,91181
2022-01-01,40242,78994
2022-01-01,40211,31530
2022-01-01,40215,41397
2022-01-01,40205,94253
2022-01-01,40218,52584
2022-01-01,40222,81902
2022-01-01,40223,93498
2022-01-01,40067,92670
2022-01-01,40177,42284
2022-01-01,40212,33605
2022-01-01,40214,55218
2022-01-01,40299,83783
2022-01-01,40245,118333
2022-01-01,40243,85716
2022-01-01,40025,250001
2022-01-01,40109,68750
2022-01-01,40241,95309
2022-01-01,40206,69241
2022-01-01,40219,53059
2022-01-01,40258,62948
2022-01-01,40213,59792
2022-01-01,40204,65457
2022-01-01,40208,34206
2022-01-01,40216,51221
2022-01-01,40118,55036
2022-01-01,40202,26643
2022-01-01,40217,70771
2022-01-01,40207,97754
2022-01-01,40229,75827
2022-01-01,40023,137569
2022-01-01,40272,64617
2022-01-01,40209,50787
2022-01-01,40228,74025
2022-01-01,40291,81059
2023-01-01,40203,31430
2023-01-01,40210,35841
2023-01-01,40059,165000
2023-01-01,40220,73502
2023-01-01,40047,93609
2023-01-01,40242,79201
2023-01-01,40211,32598
2023-01-01,40215,42762
2023-01-01,40205,98990
2023-01-01,40218,56191
2023-01-01,40222,81623
2023-01-01,40223,97033
2023-01-01,40067,93899
2023-01-01,40177,47500
2023-01-01,40212,35389
2023-01-01,40214,53563
2023-01-01,40299,85419
2023-01-01,40245,120171
2023-01-01,40243,75859
2023-01-01,40025,250001
2023-01-01,40109,73350
2023-01-01,40241,95775
2023-01-01,40206,72543
2023-01-01,40219,52271
2023-01-01,40258,66263
2023-01-01,40213,60734
2023-01-01,40204,70706
2023-01-01,40208,37714
2023-01-01,40216,50211
2023-01-01,40118,52257
2023-01-01,40202,29382
2023-01-01,40217,68573
2023-01-01,40207,98583
2023-01-01,40229,78877
2023-01-01,40023,135863
2023-01-01,40272,66382
2023-01-01,40209,52697
2023-01-01,40228,75762
2023-01-01,40291,81576
2024-01-01,40203,30794
2024-01-01,40210,35347
2024-01-01,40059,152727
2024-01-01,40220,78434
2024-01-01,40047,99124
2024-01-01,40242,75417
2024-01-01,40211,31749
2024-01-01,40215,43725
2024-01-01,40205,99966
2024-01-01,40218,58811
2024-01-01,40222,82511
2024-01-01,40223,96607
2024-01-01,40067,97684
2024-01-01,40177,50577
2024-01-01,40212,35753
2024-01-01,40214,54931
2024-01-01,40299,89440
2024-01-01,40245,122948
2024-01-01,40243,77587
2024-01-01,40025,250001
2024-01-01,40109,75495
2024-01-01,40241,94078
2024-01-01,40206,75798
2024-01-01,40219,55720
2024-01-01,40258,68162
2024-01-01,40213,55897
2024-01-01,40204,71116
2024-01-01,40208,39560
2024-01-01,40216,56441
2024-01-01,40118,59316
2024-01-01,40202,35584
2024-01-01,40217,69114
2024-01-01,40207,101898
2024-01-01,40229,79936
2024-01-01,40023,144635
2024-01-01,40272,69940
2024-01-01,40209,0
2024-01-01,40228,79404
2024-01-01,40291,81267
